1,117,1,13
1,75,2,13
3,38,3,13
1,153,4,13
3,39,5,13
3,40,6,13
1,119,7,13
3,41,8,13
3,42,9,13
3,43,10,13
3,44,11,13
3,45,12,13
3,46,13,13
3,47,14,13
3,48,15,13
3,49,16,13
3,50,17,13
3,51,18,13
2,82,19,13
3,52,20,13
3,53,21,13
3,54,22,13
3,55,23,13
3,56,24,13
1,113,25,13
1,226,26,13
3,57,27,13
1,89,28,13
3,58,29,13
1,90,30,13
3,59,31,13
1,144,32,13
NULL,NULL,33,13
NULL,NULL,34,13
NULL,NULL,35,13
NULL,NULL,36,13
NULL,NULL,37,13
NULL,NULL,38,13
NULL,NULL,39,13
NULL,NULL,40,13
NULL,NULL,41,13
1,93,42,13
NULL,NULL,43,13
1,78,44,13
NULL,NULL,45,13
1,106,46,13
NULL,NULL,47,13
2,46,48,13
NULL,NULL,49,13
NULL,NULL,50,13
NULL,NULL,51,13
NULL,NULL,52,13
2,5,53,13
NULL,NULL,54,13
NULL,NULL,55,13
NULL,NULL,56,13
1,88,57,13
NULL,NULL,58,13
NULL,NULL,59,13
NULL,NULL,60,13
NULL,NULL,61,13
NULL,NULL,62,13
NULL,NULL,63,13
1,94,64,13
NULL,NULL,65,13
NULL,NULL,66,13
NULL,NULL,67,13
NULL,NULL,68,13
NULL,NULL,69,13
NULL,NULL,70,13
1,149,71,13
1,76,72,13
1,160,73,13
1,185,74,13
NULL,NULL,75,13
NULL,NULL,76,13
NULL,NULL,77,13
NULL,NULL,78,13
NULL,NULL,79,13
1,84,80,13
NULL,NULL,81,13
NULL,NULL,82,13
NULL,NULL,83,13
NULL,NULL,84,13
NULL,NULL,85,13
1,87,86,13
NULL,NULL,87,13
NULL,NULL,88,13
NULL,NULL,89,13
NULL,NULL,90,13
NULL,NULL,91,13
NULL,NULL,92,13
NULL,NULL,93,13
1,176,94,13
NULL,NULL,95,13
NULL,NULL,96,13
NULL,NULL,97,13
NULL,NULL,98,13
NULL,NULL,99,13
NULL,NULL,100,13
1,206,101,13
NULL,NULL,102,13
NULL,NULL,103,13
NULL,NULL,104,13
NULL,NULL,105,13
NULL,NULL,106,13
NULL,NULL,107,13
NULL,NULL,108,13
NULL,NULL,109,13
NULL,NULL,110,13
NULL,NULL,111,13
1,211,112,13
1,28,113,13
1,79,114,13
NULL,NULL,115,13
1,81,116,13
NULL,NULL,117,13
1,83,118,13
NULL,NULL,119,13
NULL,NULL,120,13
NULL,NULL,121,13
NULL,NULL,122,13
NULL,NULL,123,13
NULL,NULL,124,13
NULL,NULL,125,13
1,146,126,13
2,53,127,13
NULL,NULL,128,13
3,88,129,13
NULL,NULL,130,13
NULL,NULL,131,13
NULL,NULL,132,13
NULL,NULL,133,13
NULL,NULL,134,13
NULL,NULL,135,13
NULL,NULL,136,13
NULL,NULL,137,13
1,44,138,13
1,46,139,13
NULL,NULL,140,13
1,48,141,13
1,80,142,13
NULL,NULL,143,13
1,54,144,13
1,32,145,13
1,55,146,13
1,58,147,13
1,59,148,13
NULL,NULL,149,13
1,92,150,13
NULL,NULL,151,13
NULL,NULL,152,13
1,43,153,13
NULL,NULL,154,13
1,45,155,13
1,47,156,13
NULL,NULL,157,13
1,52,158,13
NULL,NULL,159,13
1,53,160,13
NULL,NULL,161,13
NULL,NULL,162,13
1,73,163,13
NULL,NULL,164,13
1,57,165,13
1,60,166,13
NULL,NULL,167,13
NULL,NULL,168,13
NULL,NULL,169,13
NULL,NULL,170,13
NULL,NULL,171,13
NULL,NULL,172,13
1,49,173,13
1,50,174,13
1,51,175,13
NULL,NULL,176,13
NULL,NULL,177,13
NULL,NULL,178,13
NULL,NULL,179,13
NULL,NULL,180,13
NULL,NULL,181,13
NULL,NULL,182,13
1,56,183,13
NULL,NULL,184,13
NULL,NULL,185,13
NULL,NULL,186,13
1,61,187,13
NULL,NULL,188,13
1,1,189,13
1,2,190,13
1,3,191,13
1,4,192,13
1,5,193,13
1,6,194,13
1,7,195,13
1,8,196,13
1,9,197,13
1,10,198,13
1,11,199,13
1,12,200,13
1,13,201,13
1,14,202,13
1,15,203,13
1,16,204,13
1,17,205,13
1,18,206,13
2,74,207,13
1,20,208,13
1,21,209,13
1,22,210,13
1,23,211,13
